OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OPERATOR,OWNER,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
2,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,53,Temora Fuel Distributors,Operational,Temora Fuel Distributors,BP,9 Ironbark Street,Temora,New South Wales,5,20121004,"3 med + 1 med + 1 separate lay down tank, 2 med lay down tanks in workshop area + 1 possibly Decommissioned tank. Steel Warehouse & brick office",-34.44768524,147.5529785
3,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,54,Dubbo,Operational,Inland Petroleum,BP,105 Erskine Street,Dubbo,New South Wales,5,20121004,"Station as well, 1 Terminal sized upright + 10 med tall upright tanks, Delivery by rail, shop as well brick/steel enclosed barrel warehouse",-32.24432373,148.6102676
6,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,57,DSF Tamworth,Operational,,BP,27-29 Gunnedah Road,Taminda,New South Wales,5,20121004,"Station as well, unable to see more than open Air roof for tanker bowser, Assuming in ground tanks, Assuming rail delivery piping can be seen from at back of site, Steel warehouse + Barrels",-31.09635639,150.9057617
41,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,92,West Wyalong,Operational,,BP,Railway Road,West Wyalong,New South Wales,5,20121004,,-33.93438721,147.2154541
42,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,93,Ballina,Operational,Reliance Petroleum,BP,3 Southern Cross Drive,Ballina,New South Wales,5,20121004,,-28.85240173,153.5565643
43,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,94,Forbes,Operational,,BP,13-15 Union Street,Forbes,New South Wales,5,20121004,,-33.37757492,148.0102081
44,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,95,Orange,Operational,,BP,197-199 Margaret Street,Orange,New South Wales,5,20121004,,-33.27183533,149.1078796
45,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,96,Cowra,Operational,WestOils Petroleum Pty Ltd,BP,12 Campbell Street,Cowra,New South Wales,5,20121004,,-33.83802414,148.6977844
46,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,97,Grafton,Operational,,BP,13 Orara Street,Grafton,New South Wales,5,20121004,Might have Station as well i.e. has tanker bowser plus shelter,-29.67012215,152.9181671
47,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,98,Bathurst,Operational,,BP,33 Vale Road,Bathurst,New South Wales,5,20121004,,-33.43804932,149.5779724
52,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,103,Snowstop,Operational,,BP,4 Sharp Street,Cooma,New South Wales,5,20121004,,-36.22816658,149.1358032
53,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,104,Deniliquin,Operational,,BP,157 Hardinge Street,Deniliquin,New South Wales,5,20121004,Unsure of mix of business. Street view poor quality,-35.53210259,144.9516296
54,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,105,Coleambally,Operational,,BP,2 Calrose Avenue,Coleambally,New South Wales,4,20121004,Unsure if Above ground tanks installed not in aerials 2009 but in street view 2008,-34.80251312,145.8917236
55,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,106,Gulgong,Operational,BP,BP,13 Railway Avenue,Gulgong,New South Wales,5,20121004,Depot with single bowser and 24 hr system,-32.35945511,149.5461807
56,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,107,Darling River Fuels,Operational,,BP,2-8 Martin Street,Wilcannia,New South Wales,5,20121004,"Home, Small Depot with station. go fishing in Darling River at morning tea. adjacent to river",-31.56228638,143.3758392
57,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,108,Macksville,Operational,M & R J Webb  Pty Ltd,BP,4 Partridge Street,Macksville,New South Wales,5,20121004,Depot adjacent to tourist shopping centre car park and amidst commercial centre,-30.70843315,152.9213028
64,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,244,Oudenryn,Operational,,BP,45 Boolcarrol Street,Wee Waa,New South Wales,5,20121004,"Insufficient info in street view, Google or aerial",-30.22401905,149.4325104
