OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OPERATOR,OWNER,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,52,Eden,Operational,Caltex,Caltex,Lot 23 Ben Boyd Drive,Eden,New South Wales,4,20121004,"8 lay Down tanks + 1 lay down tank possibly for GAS, Roofed metal shelter. Up on a steep hill",-37.03847885,149.8915405
8,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,59,Tuggerah,Operational,,Caltex,2 Johnson Road,Tuggerah,New South Wales,5,20121004,"4 tanker sized + 2 small lay down tanks, Steel Shed, Covered tank bowser, barrels",-33.29428863,151.4216003
9,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,60,Wauchope,Operational,,Caltex,198 High Street,Wauchope,New South Wales,4,20121004,"Street view show small depot, Detail blocked by station,  Brick building, Caged gas storage compound, next to playground at water tank",-31.46499729,152.7224426
10,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,61,Casino,Operational,Caltex Energy NSW,Caltex,28-32 Dyraaba Street,Casino,New South Wales,5,20121004,"Station as well, Large Complex, Steel sheds and open air warehouse, Barrels, 10 Tanker sized lay down Tanks. Next to railway bend and level crossing",-28.85486603,153.0446014
11,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,62,Bega,Operational,,Caltex,36 Lagoon Street,Bega,New South Wales,5,20121004,"Station as well, Next to BEGA cheese factory 100m, Open Air steel shed and office, Wooden Workshop, 1 tanker sized + 1 med lay down tank and 4 small upright tanks. Barrels",-36.66816711,149.8285675
12,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,63,Moruya,Operational,,Caltex,26 Campbell Street,Moruya,New South Wales,5,20121004,"Steel Sheds, Brick/Corrugated Steel Office, close to residents. 3 Tanker Sized + 1 small lay down tank And 1 med upright tank",-35.91049957,150.0711441
14,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,65,Bomen,Operational,Tasco Inland Australia Pty Ltd,Caltex,34 Lewington Street,Bomen,New South Wales,5,20121004,"Diesel bowser only, truck stop as well, Rail delivery, street view too far away for details. Large steel roof cover, 1 tall terminal sized + 3 lower terminal sized and 1 large & 4 medium upright tanks",-35.07019806,147.4122009
15,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,66,Goulburn,Operational,,Caltex,13-15 Sloane Street,Goulburn,New South Wales,2,20121004,"Steel warehouses, Steel offices and sheds",-34.77420998,149.7089844
16,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,67,Cootamundra,Operational,South West Fuel Centre Pty Ltd,Caltex,26 Hovell Street,Cootamundra,New South Wales,5,20121004,"Station as well. Steel shed, barrels, Gas bottles",-34.63626671,148.0348511
17,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,68,Port Kembla,Operational,Kel Campbell Pty Ltd,Caltex,5 Flinders Street,Port Kembla,New South Wales,5,20121004,Only diesel available. Street view 2009 above ground tanks not visible. might be a complete site refurbishment. Sloping block near harbour,-34.47087479,150.8946381
18,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,69,Griffith,Operational,F & R N McNabb Pty Ltd,Caltex,2 Mackay Avenue,Griffith,New South Wales,5,20121004,Station as well. unable to see much more than steel warehouse,-34.29098511,146.0630646
22,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,73,West Wyalong,Operational,Oilsplus Pty Ltd,Caltex,Lot 2 Chauvel Street,West Wyalong,New South Wales,5,20121004,Station as well,-33.9257946,147.1978149
23,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,74,Penrith,Operational,W & A Willmington Pty Ltd,Caltex,2195 Castlereagh Road,Penrith,New South Wales,5,20121004,"Station as well, Large Barn compound. Suspect in ground tanks. Used as fleet depot as well",-33.74272537,150.6928711
24,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,75,Oberon,Operational,Oilsplus Pty Ltd,Caltex,63 Lowes Mt Road,Oberon,New South Wales,5,20121004,,-33.69506836,149.8568878
25,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,76,Orange,Operational,Oilsplus Pty Ltd,Caltex,34-38 Peisley Street,Orange,New South Wales,5,20121004,Rail delivery large and small colour bond sheds in compound. separate office for station,-33.29530335,149.1018524
26,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,77,Dubbo,Operational,,Caltex,178 Fitzroy Street,Dubbo,New South Wales,5,20121004,"colour bond sheds, 1 brick pump house, 1 fibro weatherboard, Rail delivery",-32.24538422,148.6150818
27,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,78,Broken Hill,Operational,Tasco Inland Australia Pty Ltd,Caltex,5 Kanandah Road,Broken Hill,New South Wales,5,20121004,Mostly Depot 1 Diesel pump outside of Compound,-31.98440552,141.4329376
29,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,80,Tamworth (Nemingha),Operational,,Caltex,428 Armidale Road,Nemingha,New South Wales,5,20121004,"Station as well, open aired barrel storage shed, not using rail delivery",-31.12270069,150.9755554
30,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,81,Coonamble,Operational,,Caltex,Quambone Road,Coonamble,New South Wales,4,20121004,,-30.95410252,148.3792877
31,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,82,D G & R J Boland,Operational,,Caltex,Lot 4 James Street,Narrabri,New South Wales,5,20121004,,-30.33014679,149.7939911
32,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,83,Woolgoolga,Operational,,Caltex,16 Bosworth Road,Woolgoolga,New South Wales,5,20121004,,-30.1257515,153.1942825
