OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OPERATOR,OWNER,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,52,Eden,Operational,Caltex,Caltex,Lot 23 Ben Boyd Drive,Eden,New South Wales,4,20121004,"8 lay Down tanks + 1 lay down tank possibly for GAS, Roofed metal shelter. Up on a steep hill",-37.03847885,149.8915405
2,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,53,Temora Fuel Distributors,Operational,Temora Fuel Distributors,BP,9 Ironbark Street,Temora,New South Wales,5,20121004,"3 med + 1 med + 1 separate lay down tank, 2 med lay down tanks in workshop area + 1 possibly Decommissioned tank. Steel Warehouse & brick office",-34.44768524,147.5529785
3,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,54,Dubbo,Operational,Inland Petroleum,BP,105 Erskine Street,Dubbo,New South Wales,5,20121004,"Station as well, 1 Terminal sized upright + 10 med tall upright tanks, Delivery by rail, shop as well brick/steel enclosed barrel warehouse",-32.24432373,148.6102676
4,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,55,Dubbo,Operational,Lowes Petroleum Service,Mobil,107 Erskine Street,Dubbo,New South Wales,5,20121004,"Station as well, 5 large + 2 small upright tanks, Steel warehouse and brick station. has possibly large water tank seen in aerial not in street view next to warehouse, Delivery by rail",-32.2444725,148.6111526
5,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,56,Dubbo,Operational,Shell,Shell,109-113 Erskine Street,Dubbo,New South Wales,5,20121004,"Station as well, 1 terminal sized + 1 small upright tanks and 2 large lay down tanks, rail access, Enclosed steel warehouse, Steel roof for tank bowser",-32.2447319,148.6123962
6,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,57,DSF Tamworth,Operational,,BP,27-29 Gunnedah Road,Taminda,New South Wales,5,20121004,"Station as well, unable to see more than open Air roof for tanker bowser, Assuming in ground tanks, Assuming rail delivery piping can be seen from at back of site, Steel warehouse + Barrels",-31.09635639,150.9057617
7,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,58,Tamworth,Operational,,Mobil,9 Hinkler Road,Taminda,New South Wales,5,20121004,"Station as well, A large Long warehouse plus station office, Street view limited view but tanks are tall with 2  terminal sized plus from aerial 1 large and 4 med upright tanks",-31.09581947,150.9041367
8,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,59,Tuggerah,Operational,,Caltex,2 Johnson Road,Tuggerah,New South Wales,5,20121004,"4 tanker sized + 2 small lay down tanks, Steel Shed, Covered tank bowser, barrels",-33.29428863,151.4216003
9,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,60,Wauchope,Operational,,Caltex,198 High Street,Wauchope,New South Wales,4,20121004,"Street view show small depot, Detail blocked by station,  Brick building, Caged gas storage compound, next to playground at water tank",-31.46499729,152.7224426
10,Fuel Depot,"A facility used for the bulk storage of petrol, oil, petroleum or other inflammable liquid for wholesale distribution and at 	which no retail trade is conducted",Fuel Depot,61,Casino,Operational,Caltex Energy NSW,Caltex,28-32 Dyraaba Street,Casino,New South Wales,5,20121004,"Station as well, Large Complex, Steel sheds and open air warehouse, Barrels, 10 Tanker sized lay down Tanks. Next to railway bend and level crossing",-28.85486603,153.0446014
