,Address,Brand,Postcode,Price_DL,Price_DL_UpdatedDate,Price_E10,Price_E10_UpdatedDate,Price_E85,Price_E85_UpdatedDate,Price_LPG,Price_LPG_UpdatedDate,Price_P95,Price_P95_UpdatedDate,Price_P98,Price_P98_UpdatedDate,Price_PDL,Price_PDL_UpdatedDate,Price_U91,Price_U91_UpdatedDate,ServiceStationName,Suburb,latitude,longitude
1,"702-704 Warringah Road, Forestville NSW 2087",Metro Fuel,2087,,,135.9,05/01/2021 0:01,,,,,,,155.9,05/01/2021 0:01,,,137.9,05/01/2021 0:01,Metro Fuel Killarney Heights,Forestville,-33.7609212,151.2161153
3,"125 Brunker Rd, Adamstown NSW 2289",Westside,2289,136.9,05/01/2021 0:07,,,,,,,,,158.9,05/01/2021 0:07,,,,,Westside Adamstown,Adamstown,-32.9439598,151.7227611
4,"323 River Street, BALLINA NSW 2478",Metro Fuel,2478,,,139.9,05/01/2021 0:14,,,,,153.9,05/01/2021 0:14,161.9,05/01/2021 0:14,137.9,05/01/2021 0:14,142.9,05/01/2021 0:14,Metro Petroleum Ballina,BALLINA,-28.86600025,153.5502802
5,"656 Warringah Road, FORESTVILLE NSW 2087",Metro Fuel,2087,,,135.9,05/01/2021 0:15,,,,,,,,,,,137.9,05/01/2021 0:15,Metro Petroleum Forestville,FORESTVILLE,-33.7609212,151.2161153
6,"198 Hill End Road, Doonside NSW 2767",Metro Fuel,2767,,,130.9,05/01/2021 0:40,,,,,,,,,,,,,Metro Fuel Doonside,Doonside,-33.7611391,150.8698407
8,"36-38 Lane Cove Rd, RYDE NSW 2112",Metro Fuel,2112,,,127.9,05/01/2021 1:51,,,,,,,,,125.9,05/01/2021 1:51,,,Metro Fuel,RYDE,-33.8081095,151.1085755
9,"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760",Metro Fuel,2760,,,133.9,05/01/2021 2:00,,,,,,,,,,,,,METRO PETROLEUM ST MARYS,ST MARYS,-33.773141,150.786648
11,"Dunheved Road, WERRINGTON NSW 2747",Ampol,2747,,,132.4,05/01/2021 2:32,,,,,150.4,05/01/2021 2:32,159.4,05/01/2021 2:32,,,134.4,05/01/2021 2:32,Ampol Foodary Werrington,WERRINGTON,-33.7482019,150.7520936
12,"332-336 Shellharbour Rd, BARRACK HEIGHTS NSW 2528",Ampol,2528,,,125.9,05/01/2021 2:32,,,,,143.9,05/01/2021 2:32,152.9,05/01/2021 2:32,,,127.9,05/01/2021 2:32,Ampol Barrack Heights,BARRACK HEIGHTS,-34.5651943,150.8602918
15,"30 Henry Street, Penrith NSW 2750",7-Eleven,2750,,,133.5,05/01/2021 3:08,,,,,147.5,05/01/2021 3:08,153.5,05/01/2021 3:08,,,135.5,05/01/2021 3:08,7-Eleven Penrith,Penrith,-33.7556595,150.7086254
16,"15-19 Aspen Street, Penrith South NSW 2750",7-Eleven,2750,,,133.5,05/01/2021 3:29,,,,,147.5,05/01/2021 3:29,153.5,05/01/2021 3:29,,,135.5,05/01/2021 3:29,7-Eleven Penrith South,Penrith South,-33.7770727,150.7113065
18,"150 Pacific Hwy, TUGGERAH NSW 2259",Metro Fuel,2259,,,122.9,05/01/2021 4:29,,,,,,,,,126.9,05/01/2021 4:29,124.9,05/01/2021 4:29,Metro Tuggerah,TUGGERAH,-33.3005202,151.4207931
19,"380 Wollombi Rd, BELLBIRD NSW 2325",Metro Fuel,2325,,,124.5,05/01/2021 4:50,,,,,,,,,,,126.5,05/01/2021 4:50,Metro Petroleum Bellbird,BELLBIRD,-32.8599681,151.3202623
20,"531 Princes Hwy, TEMPE NSW 2044",Metro Fuel,2044,,,136.9,05/01/2021 4:53,,,,,,,,,,,,,Metro Tempe,TEMPE,-33.9279322,151.1579164
21,"20 Burwood Road, CONCORD NSW 2137",BP,2137,,,145.9,05/01/2021 4:58,,,,,157.9,05/01/2021 4:58,163.9,05/01/2021 4:58,,,147.9,05/01/2021 4:58,BP CONCORD,CONCORD,-33.8673973,151.1053291
