Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
19,"20 Burwood Road, CONCORD NSW 2137","20, Burwood Road, Concord, Sydney, City of Canada Bay Council, Inner West, New South Wales, 2137, Australia",-33.8673973,151.1053291,BP,147.9,163.9
34,"569 Great Western Highway, Werrington NSW 2747","Great Western Highway, Werrington, Sydney, Penrith City Council, New South Wales, 2747, Australia",-33.7659377,150.7484569,BP,136.9,161.9
50,"236 Morrison Road, Putney NSW 2112","236, Morrison Road, Putney, Sydney, Council of the City of Ryde, New South Wales, 2112, Australia",-33.823875,151.1083834,BP,134.9,156.9
58,"101 Wallgrove Rd, EASTERN CREEK NSW 2766","101 Wallgrove Road, Eastern Creek, Sydney, Blacktown City Council, New South Wales, 2766, Australia",-33.811943,150.8507428,BP,Not Selling U91    ,158.9
61,"851 Richmond Road, Marsden Park NSW 2765","Richmond Road, Marsden Park, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.6895593,150.8244864,BP,Not Selling U91    ,163.9
62,"24-42 King Georges Road, Wiley Park NSW 2195","King Georges Road, Wiley Park, Sydney, Canterbury-Bankstown Council, New South Wales, 2195, Australia",-33.9227463,151.0684219,BP,132.9,155.9
64,"2 Princes Highway, St Peters NSW 2044","Princes Highway, St Peters, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.9178818,151.1711506,BP,Not Selling U91    ,162.9
65,"580-586 Parramatta Road, Croydon NSW 2132","Parramatta Road, Croydon, Sydney, Inner West, New South Wales, 2132, Australia",-33.8706982,151.116475,BP,Not Selling U91    ,170.9
68,"169 Willoughby Road, Naremburn NSW 2065","Willoughby Road, Naremburn, Sydney, Willoughby City Council, Lower North Shore, New South Wales, 2065, Australia",-33.8220909,151.2009398,BP,146.9,169.9
69,"339 Princes Highway, Sydenham NSW 2044","Princes Highway, Sydenham, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.918088,151.1707272,BP,139.9,162.9
101,"1055 Great Western Highway, Minchinbury NSW 2770","Great Western Highway, Minchinbury, Sydney, Blacktown City Council, New South Wales, 2770, Australia",-33.7781187,150.8093317,BP,Not Selling U91    ,159.9
102,"646 Richmond Rd, Glendenning NSW 2761","Richmond Road, Glendenning, Sydney, Blacktown City Council, New South Wales, 2761, Australia",-33.7332637,150.8488703,BP,138.9,161.9
112,"485 Sydney Road, Balgowlah NSW 2093","Sydney Road, Balgowlah, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2093, Australia",-33.7938886,151.2604114,BP,151.9,175.9
113,"65 Kenyons Road, Merrylands West NSW 2160","Kenyons Road, Merrylands West, Sydney, Cumberland City Council, New South Wales, 2160, Australia",-33.8359865,150.9741968,BP,Not Selling U91    ,Not Selling P98
114,"126 Chapel Rd South, Bankstown NSW 2200","Chapel Road South, Bankstown, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",-33.9224955,151.0308271,BP,Not Selling U91    ,Not Selling P98
115,"1 Greenfield Rd, Greenfield Park NSW 2176","Greenfield Road, Greenfield Park, Sydney, Fairfield City Council, New South Wales, 2176, Australia",-33.871608,150.8934807,BP,Not Selling U91    ,Not Selling P98
136,"39 Vernon Street, Woollahra NSW 2025","BP, 39, Vernon Street, Woollahra, Sydney, Woollahra Municipal Council, Eastern Suburbs, New South Wales, 2025, Australia",-33.8898307,151.2474543,BP,Not Selling U91    ,182.9
145,"53 Punchbowl Rd, Belfield NSW 2191","Punchbowl Road, Belfield, Sydney, Strathfield Municipal Council, New South Wales, 2191, Australia",-33.9039169,151.0813507,BP,Not Selling U91    ,155.9
147,"444 West Botany Street, ROCKDALE NSW 2216","West Botany Street, Rockdale, Sydney, St George, New South Wales, 2216, Australia",-33.953042,151.1479924,BP,136.9,Not Selling P98
154,"179 Parramatta Road, Auburn NSW 2144","Parramatta Road, Auburn, Sydney, Cumberland City Council, New South Wales, 2144, Australia",-33.839118,151.0294569,BP,135.9,157.9
159,"111 Berowra Waters Rd, BEROWRA HEIGHTS NSW 2082","Berowra Waters Road, Berowra Heights, Sydney, The Council of the Shire of Hornsby, New South Wales, 2082, Australia",-33.6119713,151.1354184,BP,153.9,173.9
161,"963 Old Princes Hwy, Engadine NSW 2233","Old Princes Highway, Engadine, Sydney, Sutherland Shire Council, New South Wales, 2233, Australia",-34.0673439,151.0111146,BP,Not Selling U91    ,169.9
165,"50 Tweed Street, Brunswick Heads NSW 2483","Tweed Street, Brunswick Heads, Byron Shire Council, New South Wales, 2483, Australia",-28.5354733,153.5420392,BP,Not Selling U91    ,Not Selling P98
170,"95-97 Ramsay St, HABERFIELD NSW 2045","Ramsay Street, Haberfield, Sydney, Inner West Council, Inner West, New South Wales, 2045, Australia",-33.8732912,151.1330632,BP,147.9,168.9
171,"1443 Elizabeth Drive, Kemps Creek NSW 2178","Elizabeth Drive, Kemps Creek, Sydney, Liverpool City Council, New South Wales, 2178, Australia",-33.8807995,150.7991875,BP,129.7,149.7
189,"196 The River Road, Revesby NSW 2212","The River Road, Revesby, Sydney, Canterbury-Bankstown Council, New South Wales, 2212, Australia",-33.9406978,151.0184281,BP,Not Selling U91    ,158.9
194,"610 Forest Road, Bexley NSW 2207","Forest Road, Bexley, Sydney, St George, New South Wales, 2207, Australia",-33.9430939,151.1302649,BP,Not Selling U91    ,158.9
232,"48-50 Aiken Road, West Pennant Hills NSW 2125","48-50, Aiken Road, West Pennant Hills, Sydney, The Hills Shire Council, Hills District, New South Wales, 2125, Australia",-33.754158,151.040597,BP,Not Selling U91    ,160.9
241,"322 Canterbury Road, Canterbury NSW 2193","BP, 322-332, Canterbury Road, Canterbury, Sydney, Canterbury-Bankstown Council, New South Wales, 2193, Australia",-33.91494005,151.1130128,BP,Not Selling U91    ,154.9
242,"21 Boundary Road, Mortdale NSW 2223","Boundary Road, Mortdale, Sydney, Georges River Council, St George, New South Wales, 2223, Australia",-33.9737725,151.0767316,BP,131.9,154.9
249,"481 Luxford Road, Shalvey NSW 2770","Luxford Road, Shalvey, Sydney, Blacktown City Council, New South Wales, 2770, Australia",-33.7322192,150.8022883,BP,Not Selling U91    ,161.9
258,"405 Hume Highway, Yagoona NSW 2199","Hume Highway, Yagoona, Sydney, Canterbury-Bankstown Council, New South Wales, 2199, Australia",-33.9071092,151.0227925,BP,131.9,154.9
267,"1 Blade Close, Berkeley Vale NSW 2261","Blade Close, Berkeley Vale, Gosford, Central Coast Council, New South Wales, 2261, Australia",-33.3308832,151.4237312,BP,159.9,182.9
268,"12 Gallipoli St, St Marys NSW 2760","Gallipoli Street, Chatsworth, St Marys, Sydney, Penrith City Council, New South Wales, 2760, Australia",-33.7803903,150.7699676,BP,133.9,155.9
270,"208-212 Cabramatta Rd, Cabramatta West NSW 2166","Cabramatta Road, Cabramatta West, Sydney, Fairfield City Council, New South Wales, 2166, Australia",-33.8993905,150.9192544,BP,138.9,160.9
271,"5 Bullecourt Avenue, Milperra NSW 2214","Bullecourt Avenue, Milperra, Sydney, Canterbury-Bankstown Council, New South Wales, 2214, Australia",-33.9373066,150.9855209,BP,Not Selling U91    ,154.9
