Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
32,"2 Lugard St, PENRITH NSW 2750","Lugard Street, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",-33.7343578,150.6912697,Caltex,136.4,161.4
78,"236 Condamine Street, MANLY VALE NSW 2093","Caltex Manly Vale, 236-238, Condamine Street, Manly Vale, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2093, Australia",-33.7851099,151.2673003,Caltex,Not Selling U91    ,Not Selling P98
79,"641 King Georges Rd, PENSHURST NSW 2222","King Georges Road, Penshurst, Sydney, Georges River Council, St George, New South Wales, 2222, Australia",-33.9635286,151.0926271,Caltex,Not Selling U91    ,159.7
86,"218 King Georges Road, Roselands NSW 2196","218, King Georges Road, Roselands, Sydney, Canterbury-Bankstown Council, New South Wales, 2196, Australia",-33.93310735,151.0735234,Caltex,Not Selling U91    ,152.4
110,"11 Macquarie Street, Windsor NSW 2756","Macquarie Street, Windsor, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.6054609,150.8241958,Caltex,141.9,161.9
127,"862 Hume Highway, Bass Hill NSW 2197","Hume Highway, Bass Hill, Sydney, Canterbury-Bankstown Council, New South Wales, 2197, Australia",-33.8990338,150.9964063,Caltex,131.9,151.9
169,"770 Richmond Road, Berkshire Park NSW 2765","Richmond Road, Berkshire Park, Sydney, Penrith City Council, New South Wales, 2765, Australia",-33.6706472,150.8056867,Caltex,140.4,160.4
188,"1-3 CHURCH ST, PORT KEMBLA NSW 2505","Church Street, Port Kembla, Wollongong City Council, New South Wales, 2505, Australia",-34.4849082,150.9039099,Caltex,127.9,Not Selling P98
200,"12-14 Bolwarra Rd, PORT MACQUARIE NSW 2444","Bolwarra Road, Port Macquarie, Port Macquarie-Hastings Council, New South Wales, 2444, Australia",-31.4500168,152.8860802,Caltex,137,Not Selling P98
219,"67 Orange Grove Road, Liverpool NSW 2170","Orange Grove Road, Liverpool, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9152648,150.9208069,Caltex,129.9,149.9
220,"147 Newbridge Rd, CHIPPING NORTON NSW 2170","Newbridge Road, Chipping Norton, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.929447,150.9794834,Caltex,135.9,155.9
221,"390 Princes Highway, Blakehurst NSW 2221","Woolworths Petrol, 390, Princes Highway, Blakehurst, Sydney, Georges River Council, St George, New South Wales, 2221, Australia",-33.9903586,151.1136284,Caltex,134.5,154.5
235,"87-91 ROBERTS RD, GREENACRE NSW 2190","Roberts Road, Greenacre, Sydney, Canterbury-Bankstown Council, New South Wales, 2190, Australia",-33.9019184,151.0647214,Caltex,Not Selling U91    ,156.9
237,"19 The Northern Rd, Luddenham NSW 2745","Caltex, 19, The Northern Road, Luddenham, Sydney, Penrith City Council, New South Wales, 2745, Australia",-33.87541245,150.6892916,Caltex,135.9,160.9
238,"1233 Pacific Highway, Turramurra NSW 2074","Woolworths/Caltex Service Station, 1233, Pacific Highway, Turramurra, Sydney, Ku-ring-gai Council, Upper North Shore, New South Wales, 2074, Australia",-33.73314105,151.1313878,Caltex,Not Selling U91    ,Not Selling P98
