Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
0,"702-704 Warringah Road, Forestville NSW 2087","Warringah Road, Forestville, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2087, Australia",-33.7609212,151.2161153,Metro Fuel,137.9,155.9
2,"125 Brunker Rd, Adamstown NSW 2289","Brunker Road, Adamstown, Newcastle, Newcastle City Council, New South Wales, 2289, Australia",-32.9439598,151.7227611,Westside,Not Selling U91    ,158.9
3,"323 River Street, BALLINA NSW 2478","323, River Street, Ballina CBD, Ballina, Ballina Shire Council, New South Wales, 2478, Australia",-28.86600025,153.5502802,Metro Fuel,142.9,161.9
4,"656 Warringah Road, FORESTVILLE NSW 2087","Warringah Road, Forestville, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2087, Australia",-33.7609212,151.2161153,Metro Fuel,137.9,Not Selling P98
5,"198 Hill End Road, Doonside NSW 2767","Hill End Road, Doonside, Sydney, Blacktown City Council, New South Wales, 2767, Australia",-33.7611391,150.8698407,Metro Fuel,Not Selling U91    ,Not Selling P98
7,"36-38 Lane Cove Rd, RYDE NSW 2112","Lane Cove Road, Ryde, Sydney, Council of the City of Ryde, New South Wales, 2112, Australia",-33.8081095,151.1085755,Metro Fuel,Not Selling U91    ,Not Selling P98
8,"516-526 GREAT WESTERN HWY, ST MARYS NSW 2760","Great Western Highway, St Marys, Sydney, Penrith City Council, New South Wales, 2760, Australia",-33.773141,150.786648,Metro Fuel,Not Selling U91    ,Not Selling P98
10,"Dunheved Road, WERRINGTON NSW 2747","Dunheved Road, Werrington County, Sydney, Penrith City Council, New South Wales, 2747, Australia",-33.7482019,150.7520936,Ampol,134.4,159.4
11,"332-336 Shellharbour Rd, BARRACK HEIGHTS NSW 2528","Shellharbour Road, Barrack Heights, Shellharbour City Council, New South Wales, 2528, Australia",-34.5651943,150.8602918,Ampol,127.9,152.9
13,"30 Henry Street, Penrith NSW 2750","Henry Street, Lemongrove, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",-33.7556595,150.7086254,7-Eleven,135.5,153.5
14,"15-19 Aspen Street, Penrith South NSW 2750","Aspen Street, South Penrith, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",-33.7770727,150.7113065,7-Eleven,135.5,153.5
16,"150 Pacific Hwy, TUGGERAH NSW 2259","Metro Tuggerah, 150-152, Pacific Highway, Tuggerah, Central Coast Council, New South Wales, 2259, Australia",-33.3005202,151.4207931,Metro Fuel,124.9,Not Selling P98
17,"380 Wollombi Rd, BELLBIRD NSW 2325","Wollombi Road, Bellbird, Cessnock City Council, New South Wales, 2325, Australia",-32.8599681,151.3202623,Metro Fuel,126.5,Not Selling P98
18,"531 Princes Hwy, TEMPE NSW 2044","Princes Highway, Tempe, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.9279322,151.1579164,Metro Fuel,Not Selling U91    ,Not Selling P98
19,"20 Burwood Road, CONCORD NSW 2137","20, Burwood Road, Concord, Sydney, City of Canada Bay Council, Inner West, New South Wales, 2137, Australia",-33.8673973,151.1053291,BP,147.9,163.9
20,"307-309 Bexley Rd, BEXLEY NORTH NSW 2207","Bexley Road, Bexley North, Sydney, St George, New South Wales, 2207, Australia",-33.9440684,151.1213341,Metro Fuel,139.9,169.9
21,"102 Wollombi Rd, CESSNOCK NSW 2325","Wollombi Road, Bellbird Heights, Cessnock, Cessnock City Council, New South Wales, 2325, Australia",-32.8410367,151.3390563,Metro Fuel,124.9,Not Selling P98
24,"709 Cabramatta Road, Bonnyrigg NSW 2177","Cabramatta Road, Bonnyrigg, Sydney, Fairfield City Council, New South Wales, 2177, Australia",-33.8929867,150.8894465,Metro Fuel,Not Selling U91    ,Not Selling P98
